Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
9,200100090000000000, BOCOYNA ,90189139.47,21915804.41,3863129.28,4329831,7609796.58,0,4167420.08,116000,34694158.39,13492999.73,0,0,93373583.05,22843231.34,3038034.24,5756223.5,7824310.49,0,2788265.98,0,36240503.53,14765128.16,117885.81,0,28766,2013
10,200100100000000000, BUENAVENTURA ,57221663.41,19745600,3473268.76,6037000,6093000,772000,3518271.6,881728.4,6254154.59,10446640.06,0,0,59504658.16,19799056.81,3774674.05,9715847.91,8028274.11,0,1323392.09,18584.76,5007614.23,10315217.18,1432178.21,89818.81,22378,2013
11,200100110000000000, CAMARGO ,154724914.8,74552547.37,8343000,21099500,12435000,460000,0,4542697,7426400,22865770.38,3000000,0,159170637.7,75563485.27,7503652.74,23474203.21,10677449.98,0,2421850.29,0,8379974,24730885.46,5297531.97,1121604.74,48748,2013
12,200100120000000000, CARICHI,43042124.87,9729856.01,4785513.82,3106220.29,2306664.24,422656.09,0,0,18565825.68,4125388.74,0,0,43500191.33,10571347.22,4182684.72,2321153.92,2232985.64,0,879120.07,0,19726297.14,3883441.46,-296838.84,0,8795,2013
13,200100130000000000, CASAS GRANDES ,33247523.05,13215355.09,3180500,4777000,1835665,0,1908774.96,0,3364280,4965948,0,0,30138869.19,10714456.65,4749280.23,3499972.24,1988252.52,0,12092.5,0,2777011.08,4369697.11,2028106.86,0,10587,2013
14,200100180000000000, CHIHUAHUA,1921823999,743777000,104701065,281984440,309774494,18420000,381467000,81700000,0,0,0,0,2429622444,821710756,128657000.3,320948723.6,430853713.1,41772180.22,340808741.8,217986772.7,0,0,126884556,0,819543,2013
15,200100190000000000, CHINIPAS ,43525575.46,7027045,2087600,6591168.41,2537716,250000,4050000,0,17022704.79,3959341.26,0,0,42068048.74,6633955.12,1605375.49,4754521.27,2938861.33,0,5236053.89,0,16890415.78,3763783.36,245082.5,0,8441,2013
16,200100140000000000, CORONADO ,16303594.98,7171119,2162000,3178000,1020000,15000,509377,500000,676764.37,1071334.61,0,0,17224535.54,6545283.66,4154374.48,2007824.11,1812228.76,0,786879.61,0,729602.04,1115597.88,72745,0,2284,2013
17,200100150000000000, COYAME DEL SOTOL ,18292646.78,9312365.83,2285063.9,1620000,1498648,80000,1053069.12,1025000,630008.91,788491.02,0,0,17746949,9106191.26,2785982.91,2263306.9,1435685.76,0,96952.05,0,906717.48,621708.57,530404.07,0,1681,2013
18,200100160000000000, CUAUHTEMOC ,412666868.1,144698524.3,56256822.6,32782299.37,46377024.12,8887471,87003548.63,36661178,0,0,0,0,472796261,132602074,34129122.31,63194527.54,44553822.6,0,98078952.19,0,0,0,100237762.4,0,154639,2013
